Date,Open,High,Low,Close,Volume
2024-07-02 15:23:00,230.18,230.38,230.11,230.19,34930
2024-07-02 15:24:00,230.03,230.71,230.03,230.34,9029
2024-07-02 15:25:00,230.49,230.52,230.44,230.52,1581
2024-07-02 15:26:00,230.39,230.51,230.05,230.05,2788
2024-07-02 15:27:00,230.06,230.06,229.75,229.9,7875
2024-07-02 15:28:00,229.69,229.81,229.5,229.81,7543
2024-07-02 15:29:00,229.77,229.88,229.6,229.74,3046
2024-07-02 15:30:00,229.56,230.09,229.56,230.02,3051
2024-07-02 15:31:00,230.02,230.15,229.89,230.03,5359
2024-07-02 15:32:00,230.14,230.14,229.48,229.48,4405
2024-07-02 15:33:00,229.47,229.53,228.8,228.95,13853
2024-07-02 15:34:00,228.92,229.08,228.77,228.97,6373
2024-07-02 15:35:00,228.99,229.27,228.85,229.26,8323
2024-07-02 15:36:00,229.43,229.6,229.31,229.6,8553
2024-07-02 15:37:00,229.56,229.7,229.44,229.5,2827
2024-07-02 15:38:00,229.48,229.6,229.35,229.52,3334
2024-07-02 15:39:00,229.65,229.71,229.42,229.42,5488
2024-07-02 15:40:00,229.47,229.58,229.37,229.41,5424
2024-07-02 15:41:00,229.52,229.52,229.26,229.37,6528
2024-07-02 15:42:00,229.35,229.41,229.24,229.41,4246
2024-07-02 15:43:00,229.44,229.45,229.07,229.25,4705
2024-07-02 15:44:00,229.36,229.36,228.32,228.41,19490
2024-07-02 15:45:00,228.5,228.58,228.31,228.5,5766
2024-07-02 15:46:00,228.4,228.46,228.06,228.25,9477
2024-07-02 15:47:00,228.18,228.56,228.08,228.54,10751
2024-07-02 15:48:00,228.46,228.48,228.14,228.14,4377
2024-07-02 15:49:00,228.12,228.24,228.05,228.18,6819
2024-07-02 15:50:00,228.09,228.33,227.71,227.88,17981
2024-07-02 15:51:00,227.88,228.28,227.88,228.16,13515
2024-07-02 15:52:00,228.24,228.41,228.12,228.37,3243
2024-07-02 15:53:00,228.47,228.58,228.2,228.39,8761
2024-07-02 15:54:00,228.18,228.23,228.0,228.2,5540
2024-07-02 15:55:00,228.16,228.18,227.88,228.01,10406
2024-07-02 15:56:00,228.02,228.27,227.8,228.16,12528
2024-07-02 15:57:00,228.17,228.17,227.77,227.94,5622
2024-07-02 15:58:00,227.83,227.96,227.73,227.96,3213
2024-07-02 15:59:00,227.78,227.78,227.53,227.75,11379
2024-07-02 16:00:00,227.79,227.89,227.32,227.32,7483
2024-07-02 16:01:00,227.38,227.4,227.21,227.25,5675
2024-07-02 16:02:00,227.29,227.56,227.29,227.54,13330
2024-07-02 16:03:00,227.62,227.72,227.58,227.64,4979
2024-07-02 16:04:00,227.62,227.77,227.43,227.77,4305
2024-07-02 16:05:00,227.77,228.0,227.71,227.98,7751
2024-07-02 16:06:00,227.98,228.06,227.57,227.78,11003
2024-07-02 16:07:00,227.75,227.78,227.5,227.5,4164
2024-07-02 16:08:00,227.47,227.58,227.25,227.32,6980
2024-07-02 16:09:00,227.33,227.44,227.14,227.2,7527
2024-07-02 16:10:00,227.16,227.24,226.82,226.82,21723
2024-07-02 16:11:00,226.85,227.19,226.85,227.09,9133
2024-07-02 16:12:00,227.22,227.29,227.06,227.15,5202
2024-07-02 16:13:00,227.03,227.26,226.96,227.26,2292
2024-07-02 16:14:00,227.23,227.33,227.16,227.25,5067
2024-07-02 16:15:00,227.3,227.53,227.21,227.36,11548
2024-07-02 16:16:00,227.29,227.35,227.16,227.23,7322
2024-07-02 16:17:00,227.22,227.36,227.17,227.34,5452
2024-07-02 16:18:00,227.18,227.4,227.12,227.4,4627
2024-07-02 16:19:00,227.45,227.53,227.18,227.46,9836
2024-07-02 16:20:00,227.47,227.47,227.14,227.19,4890
2024-07-02 16:21:00,227.36,227.55,227.36,227.55,2127
2024-07-02 16:22:00,227.46,227.56,227.36,227.42,3773
2024-07-02 16:23:00,227.51,227.58,227.2,227.2,8723
2024-07-02 16:24:00,227.17,227.28,227.05,227.28,5931
2024-07-02 16:25:00,227.19,227.19,227.02,227.17,6441
2024-07-02 16:26:00,227.16,227.21,227.0,227.1,7255
2024-07-02 16:27:00,227.2,227.38,227.2,227.38,3378
2024-07-02 16:28:00,227.38,227.51,227.22,227.34,9617
2024-07-02 16:29:00,227.38,227.4,227.25,227.25,7502
2024-07-02 16:30:00,227.26,227.32,227.07,227.19,4130
2024-07-02 16:31:00,227.13,227.16,227.0,227.13,8969
2024-07-02 16:32:00,227.2,227.27,227.07,227.13,3466
2024-07-02 16:33:00,227.3,227.3,227.13,227.27,2144
2024-07-02 16:34:00,227.16,227.43,227.1,227.27,8320
2024-07-02 16:35:00,227.28,227.28,227.09,227.12,3084
2024-07-02 16:36:00,227.22,227.52,227.22,227.3,5613
2024-07-02 16:37:00,227.33,227.33,226.85,226.95,9650
2024-07-02 16:38:00,226.88,226.9,226.33,226.85,17756
2024-07-02 16:39:00,226.75,227.09,226.68,226.85,6442
2024-07-02 16:40:00,226.88,226.92,226.53,226.53,9369
2024-07-02 16:41:00,226.72,226.83,226.44,226.75,5619
2024-07-02 16:42:00,226.63,227.05,226.63,226.9,4402
2024-07-02 16:43:00,226.82,227.0,226.7,226.95,4061
2024-07-02 16:44:00,227.0,227.04,226.66,226.66,7358
2024-07-02 16:45:00,226.66,226.7,226.32,226.59,6867
2024-07-02 16:46:00,226.64,226.76,226.47,226.76,3589
